Symbol,TradeDate,Quantity,Price,Commission,Buy/Sell,Open/CloseIndicator
AAPL,20250101,100,150.00,-5.00,BUY,O
AAPL,20250105,-50,155.00,-2.50,SELL,C
GOOGL,20250102,75,2800.00,-10.00,BUY,O
TSLA,20250103,50,200.00,-5.00,BUY,O
TSLA,20250107,-25,210.00,-2.50,SELL,C
MSFT,20250104,100,300.00,-8.00,BUY,O
NVDA,20250106,60,500.00,-6.00,BUY,O
NVDA,20250110,-30,520.00,-3.00,SELL,C
AMZN,20250111,40,3200.00,-12.00,BUY,O
META,20250112,80,350.00,-8.00,BUY,O
NFLX,20250113,30,400.00,-6.00,BUY,O
SPY,20250114,200,450.00,-10.00,BUY,O
QQQ,20250115,150,380.00,-8.50,BUY,O
QQQ,20250119,-75,375.00,-4.25,SELL,C
IWM,20250116,120,220.00,-6.00,BUY,O
VTI,20250117,90,240.00,-7.00,BUY,O
